,ZCTA5CE10,NAME,CBSAFP
319,27105,"Winston-Salem, NC",49180
320,27106,"Winston-Salem, NC",49180
321,27107,"Winston-Salem, NC",49180
322,27109,"Winston-Salem, NC",49180
323,27110,"Winston-Salem, NC",49180
324,27127,"Winston-Salem, NC",49180
325,43469,"Fremont, OH",23380
326,43469,"Toledo, OH",45780
327,43469,"Port Clinton, OH",38840
328,43501,"Toledo, OH",45780
329,43501,"Hillsdale, MI",25880
330,43502,"Toledo, OH",45780
331,43504,"Toledo, OH",45780
332,43504,"Adrian, MI",10300
333,43505,,
334,43506,"Defiance, OH",19580
335,43511,"Toledo, OH",45780
336,43512,"Defiance, OH",19580
337,43515,"Toledo, OH",45780
338,43516,"Findlay, OH",22300
339,43516,"Toledo, OH",45780
340,43517,"Defiance, OH",19580
341,43517,"Auburn, IN",12140
342,43518,"Angola, IN",11420
343,43518,"Hillsdale, MI",25880
344,43519,"Defiance, OH",19580
345,43521,"Toledo, OH",45780
346,43521,"Adrian, MI",10300
347,43522,"Toledo, OH",45780
348,43523,,
349,43524,,
350,43525,"Toledo, OH",45780
351,43526,"Fort Wayne, IN",23060
352,43526,"Defiance, OH",19580
353,43526,"Auburn, IN",12140
354,43527,"Defiance, OH",19580
355,43528,"Toledo, OH",45780
356,97884,,
357,97885,"La Grande, OR",29260
358,97886,"La Grande, OR",29260
359,97886,"Hermiston-Pendleton, OR",25840
360,97901,"Ontario, OR-ID",36620
361,97901,"Boise City, ID",14260
362,97903,"Ontario, OR-ID",36620
363,97904,"Ontario, OR-ID",36620
364,97905,,
365,97906,"Ontario, OR-ID",36620
366,97907,"Ontario, OR-ID",36620
367,97908,"Ontario, OR-ID",36620
368,97909,"Ontario, OR-ID",36620
369,97911,"Ontario, OR-ID",36620
370,97914,"Ontario, OR-ID",36620
371,97918,"Ontario, OR-ID",36620
372,97920,"Ontario, OR-ID",36620
373,71944,,
374,73118,"Oklahoma City, OK",36420
375,71945,"Fort Smith, AR-OK",22900
376,73119,"Oklahoma City, OK",36420
377,71949,"Hot Springs, AR",26300
378,71949,"Little Rock-North Little Rock-Conway, AR",30780
379,71949,"Russellville, AR",40780
380,71950,,
381,71952,,
382,73120,"Oklahoma City, OK",36420
383,73121,"Oklahoma City, OK",36420
384,73122,"Oklahoma City, OK",36420
385,73127,"Oklahoma City, OK",36420
386,73128,"Oklahoma City, OK",36420
387,73129,"Oklahoma City, OK",36420
388,71953,"Fort Smith, AR-OK",22900
389,73130,"Oklahoma City, OK",36420
390,73131,"Oklahoma City, OK",36420
391,71956,"Hot Springs, AR",26300
392,73132,"Oklahoma City, OK",36420
393,73134,"Oklahoma City, OK",36420
394,71957,"Hot Springs, AR",26300
395,73135,"Oklahoma City, OK",36420
396,73139,"Oklahoma City, OK",36420
397,71958,,
398,73141,"Oklahoma City, OK",36420
399,71959,,
400,73142,"Oklahoma City, OK",36420
401,94133,"San Francisco-Oakland-Hayward, CA",41860
402,94134,"San Francisco-Oakland-Hayward, CA",41860
403,94158,"San Francisco-Oakland-Hayward, CA",41860
